caseKey,caseName,caseDescription,scenarioKey,scenario,metric,estimate,lower95,upper95,n,method
baseline,Baseline,Baseline assumptions for sensitivity comparison.,strict-recusal-court,Strict recusal with substitute justices,capacityStrainCost,0.426,0.414,0.438,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,strict-recusal-court,Strict recusal with substitute justices,institutionalBudgetCost,0.438,0.426,0.450,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,strict-recusal-court,Strict recusal with substitute justices,institutionalDelayCost,0.445,0.433,0.458,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,strict-recusal-court,Strict recusal with substitute justices,implementationComplexity,0.488,0.476,0.501,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,strict-recusal-court,Strict recusal with substitute justices,totalInstitutionalCost,0.479,0.466,0.491,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,directionalScore,0.688,0.676,0.699,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,legalStability,0.890,0.882,0.897,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,rightsProtection,0.739,0.728,0.750,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,partisanAlignment,0.169,0.160,0.178,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,shadowDocketAbuse,0.003,0.000,0.008,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,legitimacy,0.739,0.728,0.750,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,reversalRate,0.453,0.441,0.465,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,reviewRate,1.000,0.995,1.000,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,intakeAcceptanceRate,0.021,0.020,0.021,312144,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,emergencyReliefRate,0.470,0.433,0.507,715,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,emergencyReasonGivingRate,0.877,0.853,0.901,715,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,emergencyVoteDisclosureRate,0.727,0.695,0.760,715,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,emergencyPublicDisagreementRate,0.140,0.114,0.165,715,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,governmentEmergencyWinRate,0.449,0.413,0.486,715,conservative-bounded-normal-95
