caseKey,caseName,caseDescription,scenarioKey,scenario,segmentType,segmentKey,metric,estimate,lower95,upper95,n,method
baseline,Baseline,Baseline assumptions for sensitivity comparison.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,4,courtSize,15.000,12.060,17.940,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,4,medianIdeology,-0.012,-0.231,0.207,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,4,ideologicalSpread,0.901,0.683,1.119,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,4,meanPartisanAttachment,0.531,0.422,0.640,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,4,meanRightsSensitivity,0.734,0.638,0.831,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,4,meanInstitutionalism,0.778,0.687,0.869,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,4,replacementPressure,0.453,0.344,0.562,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,4,estimatedReplacementEvents,6.798,4.886,8.710,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,period,1,courtSize,9.000,6.540,11.460,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,period,1,medianIdeology,0.057,-0.162,0.276,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,period,1,ideologicalSpread,1.435,1.237,1.632,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,period,1,meanPartisanAttachment,0.611,0.504,0.718,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,period,1,meanRightsSensitivity,0.701,0.601,0.802,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,period,1,meanInstitutionalism,0.845,0.766,0.924,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,period,1,replacementPressure,0.000,0.000,0.044,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,period,1,estimatedReplacementEvents,0.000,0.000,0.789,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,period,2,courtSize,9.000,6.540,11.460,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,period,2,medianIdeology,0.053,-0.166,0.272,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,period,2,ideologicalSpread,1.361,1.157,1.566,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,period,2,meanPartisanAttachment,0.614,0.507,0.720,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,period,2,meanRightsSensitivity,0.701,0.600,0.801,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,period,2,meanInstitutionalism,0.843,0.763,0.922,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,period,2,replacementPressure,0.151,0.072,0.229,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,period,2,estimatedReplacementEvents,1.357,0.316,2.399,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,period,3,courtSize,9.000,6.540,11.460,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,period,3,medianIdeology,0.062,-0.157,0.281,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,period,3,ideologicalSpread,1.374,1.171,1.577,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,period,3,meanPartisanAttachment,0.612,0.505,0.718,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,period,3,meanRightsSensitivity,0.700,0.600,0.801,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,period,3,meanInstitutionalism,0.844,0.764,0.923,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,period,3,replacementPressure,0.151,0.072,0.229,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,period,3,estimatedReplacementEvents,1.357,0.316,2.399,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,period,4,courtSize,9.000,6.540,11.460,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,period,4,medianIdeology,0.063,-0.156,0.281,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,period,4,ideologicalSpread,1.385,1.183,1.588,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,period,4,meanPartisanAttachment,0.613,0.507,0.720,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,period,4,meanRightsSensitivity,0.698,0.598,0.799,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,period,4,meanInstitutionalism,0.840,0.760,0.921,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,period,4,replacementPressure,0.151,0.072,0.229,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,period,4,estimatedReplacementEvents,1.357,0.316,2.399,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,strict-recusal-court,Strict recusal with substitute justices,period,1,courtSize,12.000,9.211,14.789,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,strict-recusal-court,Strict recusal with substitute justices,period,1,medianIdeology,0.003,-0.216,0.222,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,strict-recusal-court,Strict recusal with substitute justices,period,1,ideologicalSpread,0.847,0.631,1.064,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,strict-recusal-court,Strict recusal with substitute justices,period,1,meanPartisanAttachment,0.531,0.421,0.640,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,strict-recusal-court,Strict recusal with substitute justices,period,1,meanRightsSensitivity,0.732,0.635,0.829,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,strict-recusal-court,Strict recusal with substitute justices,period,1,meanInstitutionalism,0.768,0.676,0.861,80,conservative-bounded-normal-95
