profile,context,left,right,weightDraws,positiveDraws,negativeDraws,tiedDraws,differenceMin,differenceMax,reversesAcrossWeights
expanding-history,emergencyPressure-high,constitutional-council,weak-form-review,1000,0,1000,0,-0.23531780083933768,-0.012983910273221322,False
expanding-history,rightsThreatRate-low,current-federal-court,reasoned-emergency-review,1000,0,1000,0,-0.22108796511054762,-0.011650180988454939,False
expanding-history,rightsThreatRate-low,current-federal-court,constitutional-council,1000,136,864,0,-0.1948048096413486,0.07335045995802891,True
expanding-history,rightsThreatRate-low,current-federal-court,weak-form-review,1000,0,1000,0,-0.2495103749213038,-0.054262607966181875,False
expanding-history,rightsThreatRate-low,reasoned-emergency-review,constitutional-council,1000,998,2,0,-0.004185722264258618,0.14099191913902087,True
expanding-history,rightsThreatRate-low,reasoned-emergency-review,weak-form-review,1000,1,999,0,-0.13024444573102334,0.0071775585419319166,True
expanding-history,rightsThreatRate-low,constitutional-council,weak-form-review,1000,0,1000,0,-0.24476984241526173,-0.0165723267224136,False
expanding-history,rightsThreatRate-high,current-federal-court,reasoned-emergency-review,1000,0,1000,0,-0.2065001686666028,-0.011278248608870611,False
expanding-history,rightsThreatRate-high,current-federal-court,constitutional-council,1000,162,838,0,-0.15796144905729825,0.07746212948673137,True
expanding-history,rightsThreatRate-high,current-federal-court,weak-form-review,1000,0,1000,0,-0.28640019858272936,-0.06359450135477773,False
expanding-history,rightsThreatRate-high,reasoned-emergency-review,constitutional-council,1000,983,17,0,-0.017713871230648826,0.14120294697003555,True
expanding-history,rightsThreatRate-high,reasoned-emergency-review,weak-form-review,1000,1,999,0,-0.17661907410252276,0.006485835117431615,True
expanding-history,rightsThreatRate-high,constitutional-council,weak-form-review,1000,0,1000,0,-0.2914530559020889,-0.02414891462741031,False
expanding-history,appointmentPolarization-low,current-federal-court,reasoned-emergency-review,1000,0,1000,0,-0.19387147286792306,-0.011117471533403034,False
expanding-history,appointmentPolarization-low,current-federal-court,constitutional-council,1000,126,874,0,-0.19533836464531817,0.06966124815541236,True
expanding-history,appointmentPolarization-low,current-federal-court,weak-form-review,1000,0,1000,0,-0.2627526709610263,-0.05800018433901111,False
expanding-history,appointmentPolarization-low,reasoned-emergency-review,constitutional-council,1000,942,58,0,-0.02732177342129838,0.13965160502041768,True
expanding-history,appointmentPolarization-low,reasoned-emergency-review,weak-form-review,1000,1,999,0,-0.14291810456621157,0.0053691985074756365,True
expanding-history,appointmentPolarization-low,constitutional-council,weak-form-review,1000,0,1000,0,-0.25659374354348075,-0.019115623647468216,False
expanding-history,appointmentPolarization-high,current-federal-court,reasoned-emergency-review,1000,0,1000,0,-0.19414590688072975,-0.011372669253916778,False
expanding-history,appointmentPolarization-high,current-federal-court,constitutional-council,1000,125,875,0,-0.17934209868806594,0.06905223258154514,True
expanding-history,appointmentPolarization-high,current-federal-court,weak-form-review,1000,0,1000,0,-0.26818083675887616,-0.05910282495915298,False
expanding-history,appointmentPolarization-high,reasoned-emergency-review,constitutional-council,1000,947,53,0,-0.02435358843138158,0.13934589210615433,True
expanding-history,appointmentPolarization-high,reasoned-emergency-review,weak-form-review,1000,1,999,0,-0.1453203006518492,0.005554373862534212,True
expanding-history,appointmentPolarization-high,constitutional-council,weak-form-review,1000,0,1000,0,-0.2613896124048154,-0.020226460335148855,False
expanding-history,legislativeConflict-low,current-federal-court,reasoned-emergency-review,1000,0,1000,0,-0.21211007543939864,-0.012335750857944139,False
expanding-history,legislativeConflict-low,current-federal-court,constitutional-council,1000,122,878,0,-0.18507125686134662,0.06858646792447926,True
expanding-history,legislativeConflict-low,current-federal-court,weak-form-review,1000,0,1000,0,-0.2547716940261633,-0.056592292411086986,False
expanding-history,legislativeConflict-low,reasoned-emergency-review,constitutional-council,1000,994,6,0,-0.005535816040160735,0.140237891349625,True
expanding-history,legislativeConflict-low,reasoned-emergency-review,weak-form-review,1000,1,999,0,-0.1384022325476103,0.006446414476809159,True
expanding-history,legislativeConflict-low,constitutional-council,weak-form-review,1000,0,1000,0,-0.2527707587581446,-0.016995383745250003,False
expanding-history,legislativeConflict-high,current-federal-court,reasoned-emergency-review,1000,0,1000,0,-0.18921630998914485,-0.009827849736249394,False
expanding-history,legislativeConflict-high,current-federal-court,constitutional-council,1000,189,811,0,-0.14544220063051272,0.08356636483807955,True
expanding-history,legislativeConflict-high,current-federal-court,weak-form-review,1000,0,1000,0,-0.261013648592875,-0.05794782598502579,False
