profile,context,contrast,claim,left,right,kind,metric,componentRole,difference,lower,upper,monteCarloSE,runs,bootstrapReplicates
frozen-generator,emergencyPressure-low,weak-form-base,weak-form,weak-form-review,current-federal-court,base,rightsProtection,registered-component,-0.005493846719736018,-0.0065899554223973755,-0.004369947413260524,0.0005880637536519836,120,2000
frozen-generator,emergencyPressure-low,weak-form-base,weak-form,weak-form-review,current-federal-court,base,complianceRate,registered-component,0.30114583333333333,0.2828125,0.3193776041666667,0.00904804015610194,120,2000
frozen-generator,emergencyPressure-low,weak-form-base,weak-form,weak-form-review,current-federal-court,base,democraticResponsiveness,registered-component,0.0537407582656502,0.051611069332383123,0.05581079366523292,0.0011205076565234727,120,2000
frozen-generator,emergencyPressure-low,weak-form-base,weak-form,weak-form-review,current-federal-court,base,vetoRelocationRisk,registered-component,-0.3577701194534283,-0.35914550015916163,-0.3563014422236018,0.0007586933824185223,120,2000
frozen-generator,emergencyPressure-low,weak-form-base,weak-form,weak-form-review,current-federal-court,base,totalInstitutionalCost,registered-diagnostic,-0.09075225441381482,-0.09088433780521474,-0.09061893260997478,7.011579947241984e-05,120,2000
frozen-generator,emergencyPressure-low,weak-form-base,weak-form,weak-form-review,current-federal-court,base,averageLegislativeResponseDelay,additional-diagnostic,0.41546772079259575,0.4136170642064015,0.41730536630784476,0.0009678104641877999,120,2000
frozen-generator,emergencyPressure-low,emergency-ablation,emergency,reasoned-with-fast-procedure,reasoned-emergency-review,ablation,emergencyReasonGivingRate,registered-component,0.1699669312169312,0.13021511243386247,0.20939748677248674,0.019927455529576907,120,2000
frozen-generator,emergencyPressure-low,emergency-ablation,emergency,reasoned-with-fast-procedure,reasoned-emergency-review,ablation,meritsFollowUpRate,registered-component,-0.016666666666666666,-0.041666666666666664,0.0,0.011735491270876315,120,2000
frozen-generator,emergencyPressure-low,emergency-ablation,emergency,reasoned-with-fast-procedure,reasoned-emergency-review,ablation,averageTimeToReview,registered-component,0.0,0.0,0.0,0.0,120,2000
frozen-generator,emergencyPressure-low,emergency-ablation,emergency,reasoned-with-fast-procedure,reasoned-emergency-review,ablation,totalInstitutionalCost,registered-component,-0.008268659765711608,-0.008354980044554556,-0.00818253024837467,4.7084672049394655e-05,120,2000
